X,Y,objectid,globalid,name,operator,address,zip,transit_parking,transit_bus,transit_subway,transit_regional_rail,contact_website,contact_phone,contact_email,contact_facebook,contact_instagram,contact_twitter,hours_mon_start,hours_mon_end,hours_mon_exceptions,hours_tues_start,hours_tues_end,hours_tues_exceptions,hours_wed_start,hours_wed_end,hours_wed_exceptions,hours_thurs_start,hours_thurs_end,hours_thurs_exceptions,hours_fri_start,hours_fri_end,hours_fri_exceptions,hours_sat_start,hours_sat_end,hours_sat_exceptions,hours_sun_start,hours_sun_end,hours_sun_exceptions,date_opening,date_closing,payment_credit,payment_snap,payment_fmnp,payment_philly_food_bucks,transit_trolley,season_year_round,season_opening_month,season_opening_day,season_closing_month,season_closing_day,payment_cash,payment_other_low_cost,payment_low_cost,editdate
-75.2195837,40.0492760500001,1,271640b0-29f3-4769-9986-34c9b781a9cb,Henry Got Crops Farm Market,,7095 Henry Avenue,19128,"FOST,FONS",27 ,BSL,MN,weaversway.coop/FarmMarket,215-843-2350 ext 304,farmmarket@weaversway.coop,,@weaverswayfarms,,,,,12:00:00,19:00:00,,,,,,,,12:00:00,19:00:00,,10:00:00,14:00:00,,,,,,,Yes,Yes,Yes,Yes,,No,May,2,December,1,Yes,Weavers Way Membership - Food For All program,Yes,2023/06/13 21:13:59+00
-75.22069356,40.0257765800001,2,cd675bd5-8c13-4ffd-b8e0-54abffcedc69,Pretzel Park Farmers' Market,Friends of Pretzel Park,4300 Silverwood Street,19127,"FOST,POFFS","61, 35, 27",,MN,http://friendsofpretzelpark.org,215-508-5606,info@pretzelparkfarmersmarket.com,https://www.facebook.com/pretzelparkfarmersmarket,@ppfarmersmarket,,,,,,,,,,,,,,,,,10:00:00,14:00:00,"Winter markets are on the first Saturday of each month (Jan, Feb, Mar & Apr) from 11:00 a.m. - 1:00 p.m.",,,,,,Yes,No,Yes,No,,Yes,,,,,Yes,,No,2024/05/30 13:29:00+00
-75.17028312,40.05556527,3,8ea6ac4c-fab8-44a9-b713-b9f9b3cb1edc,Awbury Farmers' Market,Loren Pola,6336 Ardleigh St.,19138,FOST,"18, 26, XH",BSL,CHE,,215-715-9256,farmmarket@awbury.org,Awbury Farm Market,,,,,,,,,,,,,,,,,,,,,13:00:00,17:00:00,,,,Yes,,,,,No,April,31,October,31,Yes,,,2023/06/13 21:11:26+00
-75.1715799999999,39.95028558,4,eb5e2862-5de2-4034-a30e-cc59540c39db,Rittenhouse Farmers' Market,Farm to City,1800 Walnut Street,19103,"FOST,POFFS","21, 12, 42, 17",MFL,"AL,CHE,CHW,CL,FC,GC,LD,MN,ME,PT,TL,WL,WTL,WN,FR",farmtocitymarkets.com,215-733-9599,info@farmtocity.org,,,,,,,10:00:00,14:00:00,,,,,,,,,,,09:00:00,14:00:00,"Last week of November to April, Sat market hours are 10:00 a.m. - 2:00 p.m.",,,,,,Yes,No,Yes,No,"10, 13, 34, 11, 36",Yes,,,,,Yes,,No,2024/05/30 13:20:35+00
-75.17971438,39.9771158400001,5,5ebb6f88-c3de-405c-a1f1-ac055db4d7f2,Brewerytown Garden Farmstand,Brewerytown Community Garden,27th & Master Streets,19121,FOST,"7, 48, 49",,,http://www.brewerytowngarden.com/,,brewerytown.garden@gmail.com,https://www.facebook.com/brewerytowngarden,https://www.instagram.com/brewerytowngarden,,,,,,,,,,,,,,,,,09:00:00,16:00:00,,,,,,,Yes,No,No,No,,No,June,3,September,30,Yes,,No,2023/06/13 21:00:11+00
-75.22420298,39.96505449,6,bf4f6b50-e444-4edb-b516-9526bde9ea26,52nd and Haverford Farmers' Market,The Food Trust,52nd and Haverford,19139,FOST,"30, 52",MFL,,thefoodtrust.org,,farmersmarket@thefoodtrust.org,,@thefoodtrust,,,,,,,,12:00:00,16:00:00,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,No,May,31,November,,Yes,,No,2023/06/13 20:59:25+00
-75.21549225,39.9334169900001,7,3770e8e3-6f9f-4e1b-b6fe-f637c543c6f3,Sankofa Farmstand,Sasha Hubert and Chris Newsome,54th and Lindbergh Blvd, 19144,FOST,,,,,662-394-4562,okragalore@gmail.com,https://www.facebook.com/sankofacommunityfarm/,@sankofacommunityfarm,,,,,,,,,,,15:00:00,18:00:00,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,No,June,15,November,17,Yes,Community members may volunteer at our 2nd and 4th Saturday volunteer workdays and obtain produce in kind,Yes,2023/06/20 12:18:17+00
-75.15728831,39.91905153,8,adcd5256-b1dc-4ab1-9884-992b20a17572,Novick Urban Farm Market,Novick Urban Farm,"600 W. Ritner St. Philadelphia, PA",19148,FOST,57,,,novickurbanfarm.org,215-467-1012,novickfarm@gmail.com,facebook.com/novickurbanfarm,novickurbanfarm,,,,,,,,15:00:00,17:30:00,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,No,May,24,October,25,Yes,,Yes,2023/06/13 20:51:58+00
-75.15671707,39.95002551,9,60fa01c6-a6fe-4864-8094-9426e5027ee4,Jefferson Farmers' Market,Farm to City,925 Chestnut Street,19107,"MOST,PGP,POFFS","12, 42, 21, 9",MFL,PM,farmtocitymarkets.org,215-733-9599,info@farmtocity.org,,,,,,,,,,,,,11:00:00,15:00:00,,,,,,,,,,,,,Yes,No,Yes,No,,No,May,,November,,Yes,,No,2023/06/13 20:57:26+00
-75.16230745,39.9310527800001,10,9282cfc5-7cf1-4ccd-a8f9-ecd9e3f35676,East Passyunk Farmers' Market,Farm to City,1420 E. Passyunk Avenue,19147,"FOST,MOST,FOFFS","45, 29, 47",,,farmtocitymarkets.com,215-733-9599,info@farmtocity.org,,,,,,,,,,15:00:00,19:00:00,,,,,,,,,,,,,,,,Yes,No,Yes,No,,No,May,,November,,Yes,,No,2023/06/13 20:54:07+00
